Senser01,Senser03,Senser02
1099,-4912,0
1100,-4912,0
1101,-4912,0
1102,-4912,0
1103,-4912,0
1104,-4912,0
1105,-4912,0
1106,-4912,0
1107,-4912,0
1108,-4912,0
1109,-4912,0
1110,-4912,0
1111,-4912,0
1112,-4912,0
1113,-4912,0
1114,-4912,0
1115,-4912,0
1116,-4912,0
1117,-4912,0
1118,-4912,0
1119,-4912,0
1120,-4912,0
1121,-4912,0
1122,-4912,0
1123,-4912,0
1124,-4912,0
1125,-4912,0
1126,-4912,0
1127,-4912,0
1128,-4912,0
1129,-4912,0
1130,-4912,0
1131,-4912,0
1132,-4912,0
1133,-4912,0
1134,-4912,0
1135,-4912,0
1136,-4912,0
1137,-4912,0
1138,-4912,0
1139,-4912,0
1140,-4912,0
1141,-4912,0
1142,-4912,0
1143,-4912,0
1144,-4912,0
1145,-4912,0
1146,-4912,0
1147,-4912,0
1148,-4912,0
1149,-4912,0
1150,-4912,0
1151,-4912,0
1152,-4912,0
1153,-4912,0
1154,-4912,0
1155,-4912,0
1156,-4912,0
1157,-4912,0
1158,-4912,0
1159,-4912,0
1160,-4912,0
1161,-4912,0
1162,-4912,0
1163,-4912,0
1164,-4912,0
1165,-4912,0
1166,-4912,0
1167,-4912,0
1168,-4912,0
1169,-4912,0
1170,-4912,0
1171,-4912,0
1172,-4912,0
1173,-4912,0
1174,-4912,0
1175,-4912,0
1176,-4912,0
1177,-4912,0
1178,-4912,0
1179,-4912,0
1180,-4912,0
1181,-4912,0
1182,-4912,0
1183,-4912,0
1184,-4912,0
1185,-4912,0
1186,-4912,0
1187,-4912,0
1188,-4912,0
1189,-4912,0
1190,-4912,0
1191,-4912,0
1192,-4912,0
1193,-4912,0
1194,-4912,0
1195,-4912,0
1196,-4912,0
1197,-4912,0
1198,-4912,0
1199,-4912,0
1200,-4912,0
1201,-4912,0
1202,-4912,0
1203,-4912,0
1204,-4912,0
1205,-4912,0
1206,-4912,0
1207,-4912,0
1208,-4912,0
1209,-4912,0
1210,-4912,0
1211,-4912,0
1212,-4912,0
1213,-4912,0
1214,-4912,0
1215,-4912,0
1216,-4912,0
1217,-4912,0
1218,-4912,0
1219,-4912,0
1220,-4912,0
1221,-4912,0
1222,-4912,0
1223,-4912,0
1224,-4912,0
1225,-4912,0
1226,-4912,0
1227,-4912,0
1228,-4912,0
1229,-4912,0
1230,-4912,0
1231,-4912,0
1232,-4912,0
1233,-4912,0
1234,-4912,0
1235,-4912,0
1236,-4912,0
1237,-4912,0
1238,-4912,0
1239,-4912,0
1240,-4912,0
1241,-4912,0
1242,-4912,0
1243,-4912,0
1244,-4912,0
1245,-4912,0
1246,-4912,0
1247,-4912,0
1248,-4912,0
1249,-4912,0
1250,-4912,0
1251,-4912,0
1252,-4912,0
1253,-4912,0
1254,-4912,0
1255,-4912,0
1256,-4912,0
1257,-4912,0
1258,-4912,0
1259,-4912,0
1260,-4912,0
1261,-4912,0
1262,-4912,0
1263,-4912,0
1264,-4912,0
1265,-4912,0
1266,-4912,0
1267,-4912,0
1268,-4912,0
1269,-4912,0
1270,-4912,0
1271,-4912,0
1272,-4912,0
1273,-4912,0
1274,-4912,0
1275,-4912,0
1276,-4912,0
1277,-4912,0
1278,-4912,0
1279,-4912,0
1280,-4912,0
1281,-4912,0
1282,-4912,0
1283,-4912,0
1284,-4912,0
1285,-4912,0
1286,-4912,0
1287,-4912,0
1288,-4912,0
1289,-4912,0
1290,-4912,0
1291,-4912,0
1292,-4912,0
1293,-4912,0
1294,-4912,0
1295,-4912,0
1296,-4912,0
1297,-4912,0
1298,-4912,0
1299,-4912,0
1300,-4912,0
1301,-4912,0
1302,-4912,0
1303,-4912,0
1304,-4912,0
1305,-4912,0
1306,-4912,0
1307,-4912,0
1308,-4912,0
1309,-4912,0
1310,-4912,0
1311,-4912,0
1312,-4912,0
1313,-4912,0
1314,-4912,0
1315,-4912,0
1316,-4912,0
1317,-4912,0
1318,-4912,0
1319,-4912,0
1320,-4912,0
1321,-4912,0
1322,-4912,0
1323,-4912,0
1324,-4912,0
1325,-4912,0
1326,-4912,0
1327,-4912,0
1328,-4912,0
1329,-4912,0
1330,-4912,0
1331,-4912,0
1332,-4912,0
1333,-4912,0
