Senser01,Senser02,Senser03,Senser04
7397,-20,-3129,0
7405,-20,-3129,0
7414,-20,-3128,0
7422,-20,-3128,0
7430,-20,-3128,0
7438,-20,-3128,0
7446,-20,-3128,0
7453,-19,-3128,0
7461,-19,-3128,0
7468,-19,-3128,0
7476,-19,-3128,0
7484,-19,-3128,0
7491,-19,-3128,0
7498,-19,-3128,0
7506,-19,-3128,0
7514,-19,-3128,0
7521,-19,-3128,0
7528,-18,-3128,0
7536,-18,-3128,0
7543,-17,-3128,0
7550,-17,-3128,0
7558,-16,-3128,0
7565,-16,-3128,0
7573,-16,-3128,0
7581,-16,-3128,0
7589,-16,-3128,0
7596,-16,-3128,0
7604,-15,-3128,0
7612,-15,-3128,0
7619,-15,-3128,0
7627,-14,-3127,0
7634,-14,-3127,0
7642,-14,-3127,0
7649,-14,-3127,0
7656,-14,-3127,0
7664,-13,-3127,0
7671,-13,-3127,0
7679,-13,-3127,0
7686,-13,-3127,0
7694,-12,-3127,0
7701,-12,-3127,0
7709,-12,-3127,0
7716,-12,-3127,0
7724,-12,-3127,0
7732,-12,-3127,0
7740,-12,-3127,0
7748,-12,-3127,0
7756,-12,-3127,0
7764,-12,-3127,0
7772,-12,-3127,0
7780,-11,-3127,0
7788,-11,-3127,0
7796,-11,-3127,0
7804,-11,-3127,0
7812,-10,-3127,0
7820,-10,-3127,0
7828,-10,-3127,0
7836,-10,-3127,0
7844,-10,-3127,0
7852,-10,-3127,0
7859,-10,-3127,0
7867,-10,-3127,0
7875,-10,-3127,0
7883,-10,-3127,0
7891,-10,-3127,0
7899,-10,-3127,0
7906,-10,-3127,0
7914,-10,-3127,0
7921,-10,-3127,0
7929,-10,-3127,0
7938,-10,-3127,0
7945,-10,-3127,0
7954,-10,-3127,0
7962,-10,-3127,0
7970,-10,-3127,0
7978,-10,-3127,0
7986,-10,-3127,0
7994,-10,-3127,0
8002,-10,-3127,0
8010,-10,-3127,0
8018,-10,-3127,0
8025,-10,-3127,0
8033,-10,-3127,0
8040,-10,-3126,0
8048,-10,-3126,0
8056,-10,-3126,0
8063,-10,-3126,0
8070,-10,-3126,0
8078,-10,-3126,0
8086,-10,-3126,0
8094,-10,-3126,0
8101,-10,-3126,0
8109,-10,-3126,0
8116,-10,-3126,0
8124,-10,-3126,0
8131,-10,-3126,0
8138,-10,-3126,0
8144,-10,-3126,0
8152,-10,-3126,0
8160,-10,-3125,0
8167,-10,-3125,0
8175,-10,-3125,0
8183,-10,-3124,0
8190,-10,-3124,0
8199,-10,-3124,0
8206,-10,-3124,0
8215,-10,-3123,0
8223,-10,-3123,0
8231,-10,-3123,0
8238,-10,-3123,0
8246,-10,-3123,0
8254,-10,-3123,0
8261,-10,-3123,0
8269,-10,-3123,0
8277,-10,-3123,0
8285,-10,-3123,0
8293,-10,-3123,0
8301,-10,-3123,0
8309,-10,-3123,0
8317,-10,-3123,0
8325,-10,-3123,0
8333,-10,-3123,0
8341,-10,-3123,0
8349,-10,-3123,0
8356,-10,-3123,0
8364,-10,-3123,0
8371,-10,-3123,0
8379,-10,-3123,0
8386,-10,-3123,0
8394,-10,-3123,0
8402,-10,-3123,0
8410,-10,-3123,0
8418,-10,-3123,0
8427,-10,-3123,0
8435,-10,-3123,0
8444,-10,-3122,0
8451,-10,-3122,0
8460,-10,-3122,0
8467,-10,-3122,0
8475,-10,-3121,0
8483,-10,-3120,0
8491,-10,-3116,0
8499,-10,-3113,0
8507,-10,-3110,0
8515,-10,-3108,0
8523,-9,-3102,0
8531,-9,-3099,0
8538,-9,-3095,0
8546,-9,-3093,0
8553,-9,-3090,0
8560,-9,-3089,0
8568,-9,-3088,0
8576,-9,-3085,0
8583,-9,-3083,0
8590,-9,-3081,0
8598,-9,-3080,0
8605,-9,-3079,0
8612,-9,-3077,0
8620,-9,-3077,0
8628,-9,-3076,0
8637,-9,-3076,0
8645,-9,-3076,0
8654,-9,-3076,0
8662,-9,-3076,0
8670,-9,-3076,0
8678,-9,-3076,0
8685,-9,-3076,0
8693,-9,-3076,0
8701,-9,-3076,0
8708,-9,-3078,0
8716,-9,-3079,0
8723,-9,-3080,0
8731,-9,-3081,0
8739,-9,-3081,0
8746,-9,-3081,0
8754,-9,-3081,0
8762,-9,-3080,0
8769,-9,-3078,0
8776,-9,-3076,0
8784,-9,-3075,0
8792,-9,-3073,0
8800,-9,-3071,0
8808,-9,-3069,0
8816,-9,-3069,0
8823,-9,-3067,0
8830,-9,-3064,0
8837,-9,-3062,0
8845,-9,-3060,0
8853,-9,-3057,0
8861,-9,-3055,0
8869,-9,-3052,0
8877,-9,-3050,0
8885,-9,-3049,0
8893,-9,-3048,0
8901,-9,-3045,0
8908,-9,-3042,0
8916,-9,-3041,0
8924,-9,-3038,0
8932,-9,-3036,0
8940,-9,-3034,0
8948,-9,-3031,0
8956,-9,-3029,0
8964,-9,-3029,0
8972,-9,-3026,0
8980,-9,-3023,0
8988,-9,-3021,0
8996,-9,-3018,0
9004,-9,-3016,0
9012,-9,-3014,0
9020,-9,-3011,0
9028,-9,-3009,0
9036,-9,-3009,0
9044,-9,-3007,0
9051,-9,-3003,0
9058,-8,-3001,0
9066,-8,-2999,0
9074,-8,-2996,0
9082,-8,-2994,0
9089,-8,-2992,0
9097,-8,-2990,0
9105,-8,-2989,0
9112,-8,-2988,0
9120,-8,-2984,0
9128,-8,-2982,0
9135,-8,-2979,0
9142,-8,-2976,0
9150,-8,-2973,0
9158,-8,-2969,0
9165,-8,-2968,0
9172,-8,-2962,0
9179,-8,-2957,0
9186,-8,-2952,0
9193,-8,-2949,0
9200,-8,-2942,0
9208,-8,-2934,0
9215,-8,-2929,0
9223,-8,-2920,0
9231,-8,-2911,0
9239,-8,-2902,0
9248,-8,-2891,0
9256,-8,-2881,0
9263,-8,-2869,0
9270,-8,-2858,0
9277,-8,-2849,0
9285,-8,-2835,0
9291,-8,-2827,0
9298,-8,-2814,0
9306,-8,-2800,0
9312,-8,-2786,0
9321,-8,-2768,0
9329,-8,-2749,0
9338,-8,-2729,0
9346,-8,-2709,0
9354,-8,-2689,0
9362,-7,-2670,0
9370,-7,-2649,0
9378,-7,-2630,0
9386,-7,-2610,0
9393,-7,-2590,0
9400,-7,-2570,0
9408,-7,-2548,0
9416,-7,-2526,0
9424,-7,-2501,0
9432,-7,-2477,0
9441,-7,-2451,0
9449,-7,-2427,0
9458,-7,-2398,0
