Senser01,Senser02,Senser03,Senser04
27916,1291,-3868,0
27950,1119,-3725,0
27980,970,-3588,0
28012,807,-3439,0
28043,667,-3298,0
28074,542,-3155,0
28105,436,-3017,0
28137,340,-2874,0
28169,262,-2741,0
28200,204,-2609,0
28231,163,-2473,0
28262,150,-2337,0
28294,140,-2199,0
28327,132,-2058,0
28359,123,-1926,0
28391,121,-1801,0
28422,118,-1678,0
28452,113,-1555,0
28483,109,-1428,0
28514,103,-1305,0
28546,101,-1190,0
28578,98,-1076,0
28609,93,-973,0
28640,85,-869,0
28670,81,-768,0
28702,77,-668,0
28734,72,-570,0
28765,64,-479,0
28797,61,-388,0
28829,60,-308,0
28860,56,-227,0
28892,52,-152,0
28923,45,-89,0
28953,42,-25,0
28985,40,40,0
29016,34,100,0
29048,29,154,0
29080,23,207,0
29110,21,250,0
29142,19,291,0
29174,16,327,0
29206,15,354,0
29236,13,380,0
29267,12,400,0
29297,12,414,0
29327,11,427,0
29358,11,435,0
29390,10,445,0
29422,10,450,0
29453,10,452,0
29484,10,452,0
29516,10,452,0
29547,10,452,0
29578,10,453,0
29608,10,458,0
29640,10,459,0
29674,10,459,0
29709,9,450,0
29742,9,434,0
29774,9,413,0
29805,9,385,0
29836,9,351,0
29867,9,312,0
29898,9,267,0
29930,9,219,0
29962,8,168,0
29995,6,112,0
30028,4,52,0
30062,2,-16,0
30095,2,-87,0
30127,2,-160,0
30159,2,-237,0
30191,2,-316,0
30222,2,-400,0
30253,2,-486,0
30284,2,-574,0
30314,2,-667,0
30344,2,-767,0
30376,2,-873,0
30407,1,-979,0
30437,1,-1087,0
30468,1,-1200,0
30499,-1,-1318,0
30532,-1,-1441,0
30564,-2,-1568,0
30596,-3,-1702,0
30630,-3,-1837,0
30661,-3,-1966,0
30693,-3,-2098,0
30726,-3,-2229,0
30757,-3,-2371,0
30789,-3,-2512,0
30820,-3,-2653,0
30853,-3,-2800,0
30884,-3,-2935,0
30913,-3,-3070,0
30944,-3,-3206,0
30973,-3,-3353,0
31003,-3,-3495,0
31035,-3,-3646,0
31067,-2,-3787,0
31097,-2,-3917,0
31129,-2,-4028,0
31161,-2,-4136,0
31193,-2,-4237,0
31226,-2,-4340,0
31260,-2,-4440,0
31293,-2,-4518,0
31324,-2,-4587,0
31357,-3,-4650,0
31387,-3,-4705,0
31417,-3,-4747,0
31448,-3,-4777,0
31478,-3,-4796,0
31508,-3,-4811,0
31538,-3,-4825,0
31566,-3,-4833,0
31596,-3,-4841,0
31628,-3,-4850,0
31660,-3,-4860,0
31692,-3,-4869,0
31724,-4,-4879,0
31756,-4,-4888,0
31789,-4,-4900,0
31821,-4,-4909,0
31853,-4,-4918,0
31885,-4,-4926,0
31915,-4,-4928,0
31946,-3,-4929,0
31974,-2,-4929,0
32003,-1,-4929,0
32036,-1,-4930,0
32068,-1,-4936,0
32097,0,-4946,0
32128,0,-4953,0
32157,0,-4955,0
32190,0,-4957,0
32221,0,-4957,0
32255,0,-4958,0
32288,0,-4958,0
32321,0,-4958,0
32353,0,-4959,0
32384,0,-4959,0
32417,1,-4959,0
32448,2,-4959,0
32480,3,-4959,0
32512,3,-4960,0
32543,3,-4960,0
32573,3,-4960,0
32605,3,-4960,0
32636,3,-4960,0
32669,3,-4960,0
32701,3,-4960,0
32734,3,-4960,0
32766,3,-4960,0
32799,4,-4960,0
32832,6,-4960,0
32866,6,-4961,0
32899,6,-4961,0
32931,6,-4961,0
32963,6,-4963,0
32994,6,-4964,0
33025,6,-4965,0
33057,6,-4965,0
33089,6,-4966,0
33119,6,-4966,0
33151,6,-4966,0
33182,6,-4966,0
33213,5,-4966,0
33244,3,-4966,0
33277,2,-4966,0
33310,2,-4967,0
33341,1,-4967,0
33375,1,-4967,0
33407,0,-4967,0
33440,-1,-4967,0
33472,-3,-4967,0
33503,-6,-4967,0
33534,-8,-4968,0
33565,-13,-4969,0
33596,-16,-4969,0
33628,-17,-4970,0
33659,-18,-4971,0
33689,-19,-4972,0
33720,-21,-4972,0
33750,-23,-4972,0
33782,-25,-4973,0
33807,-27,-4974,0
33809,-27,-4974,0
33809,-27,-4974,0
33809,-27,-4974,0
33809,-27,-4974,0
33809,-27,-4974,0
33809,-28,-4974,0
33809,-28,-4974,0
33809,-28,-4974,0
33809,-28,-4974,0
33809,-28,-4974,0
33809,-28,-4974,0
33809,-28,-4974,0
33809,-28,-4974,0
33809,-28,-4974,0
33809,-28,-4974,0
33809,-28,-4974,0
33809,-28,-4974,0
33809,-28,-4974,0
33809,-28,-4974,0
33809,-28,-4974,0
33809,-28,-4974,0
33809,-28,-4974,0
33809,-28,-4974,0
33809,-28,-4974,0
33809,-28,-4974,0
33809,-28,-4974,0
33809,-28,-4974,0
33809,-28,-4975,0
33809,-28,-4975,0
33809,-28,-4975,0
33809,-28,-4975,0
33809,-28,-4975,0
33809,-28,-4975,0
33809,-28,-4975,0
33809,-28,-4975,0
33809,-28,-4975,0
33809,-28,-4975,0
33809,-28,-4975,0
33809,-28,-4975,0
33809,-28,-4975,0
33809,-28,-4975,0
33809,-28,-4975,0
33809,-28,-4975,0
33809,-28,-4975,0
33809,-28,-4975,0
33809,-28,-4975,0
33809,-28,-4975,0
33809,-28,-4975,0
33809,-28,-4975,0
33809,-28,-4975,0
33809,-28,-4975,0
33809,-28,-4975,0
33809,-28,-4975,0
33809,-28,-4975,0
33809,-28,-4975,0
33809,-28,-4975,0
33809,-28,-4975,0
33809,-28,-4975,0
33809,-28,-4975,0
33809,-28,-4975,0
33809,-28,-4975,0
